tgl,keterangan,masuk,keluar,saldo
31/10,BBM,0,200.000,-488.500
02/11,BBM,0,200.000,-688.500
04/11,"Gula, kopi, galon",0,111.000,-799.500
04/11,BIOP,1.000.000,0,200.500
05/11,BBM,0,200.000,500
07/11,BBM,0,200.000,-199.500
09/11,BBM,0,200.000,-399.500
12/11,BBM,0,200.000,-599.500
12/11,BIOP,899.500,0,300.000
14/11,BBM,0,200.000,100.000
16/11,BBM,0,200.000,-100.000
18/11,BBM,0,200.000,-300.000
19/11,BIOP,600.000,0,300.000
20/11,Token listrik,0,55.000,245.000
20/11,"Gula, kopi",0,94.000,151.000
21/11,BBM,0,200.000,-49.000
22/11,Beli ban dalam + pasang,0,110.000,-159.000
22/11,BBM,0,200.000,-359.000
24/11,BBM,0,200.000,-559.000
